id,grupo,asignatura,profesor,dia,hora_inicio,hora_fin,salon
141,6103,"APRENDIZAJE,MOTIVAC.Y COGNIC. II",BOUZAS RIAÑO ARTURO,JUEVES,12:00,15:00,A 101
142,6103,DESAR.ACTUALS.EN COGNIC.COMPOR.II,ROLDAN GARCIA DANIELA,JUEVES,09:00,12:00,Edif C Salon 3
143,6103,TALLER DE INVESTIGACION II,ERAZO ÑAÑEZ LEYDY ALEEN VAZQUEZ LIRA RAMSES,JUEVES,16:00,21:00,A 211
144,6104,TALLER DE INVESTIGACION II,DURON FIGUEROA RAUL,JUEVES,10:00,12:00,AULA PENDIENTE
145,6105,INVESTIGAC.Y ANALISIS DE DATOS II,REYES CORTES ANA MARIA,JUEVES,11:00,13:00,AULA PENDIENTE
146,6105,TALLER DE INVESTIGACION II,ORDUÑA TRUJILLO OSCAR VLADIMIR,JUEVES,09:00,11:00,AULA PENDIENTE
147,6202,"CONFLICTO, CONFORMIDAD Y CONSENSO",GARCIA MERAZ MELISSA,JUEVES,12:00,15:00,A 309
148,6202,PSICOLOGIA DE LA VIDA COTIDIANA,FLORES MORALES ROGELIO,JUEVES,08:00,11:00,A 109
149,6203,"CONFLICTO, CONFORMIDAD Y CONSENSO",DOMINGUEZ ZUÑIGA TANIA FABIOLA,JUEVES,08:00,15:00,A 308
150,6203,ESTADISTICA INFERENC.EN PSICOLOGIA,DOMINGUEZ ESPINOSA ALEJANDRA DEL CARMEN,JUEVES,17:00,20:00,A 110
151,6204,INVESTIGACION SOCIAL,SANCHEZ ARAGON ROZZANA,JUEVES,09:00,12:00,A 207
152,6205,PSICOLOGIA DE LA VIDA COTIDIANA,MEDINA LIBERTY JOSE ADRIAN ALFREDO,JUEVES,11:00,14:00,A 109
153,6301,TEMAS SELECTOS EN PSICOBIOLOGIA II,GUTIERREZ OSPINA GABRIEL,JUEVES,09:00,12:00,A 002
154,6301,PSICOFARMACOLOGIA Y ADICCION,RAMOS LANGUREN LAURA ELISA,JUEVES,12:00,13:30,A 207
155,6302,EVALUACION NEUROPSICOLOGICA,GALAN LOPEZ ITZEL GRACIELA,JUEVES,08:00,10:00,A 107
156,6303,PSICOFISIOLOGIA DE LA ATENCION,GALICIA CASTILLO OSCAR RICARDO,JUEVES,19:30,21:00,A 104
157,6303,PSICOFARMACOLOGIA Y ADICCION,SANCHEZ CASTILLO HUGO,JUEVES,16:30,18:00,A 304
158,6304,EVALUACION NEUROPSICOLOGICA,GALAN LOPEZ ITZEL GRACIELA,JUEVES,12:00,14:00,A 211
159,6304,PSICOFISIOLOGIA DEL SUE�O,PROFESOR PENDIENTE,JUEVES,16:00,19:00,A 102
160,6402,PSICODIAGNOSTICO II,RUÍZ GONZÁLEZ VERÓNICA,JUEVES,08:00,11:00,B 17
161,6403,EPIDEMIOLOGIA Y SALUD PUBLICA,CUEVAS RENAUD CORINA MARGARITA,JUEVES,11:00,14:00,A 202
162,6403,TEORIA Y TECNICA DE LA ENTREVIS. II,SOMARRIBA ROCHA LAURA ANGELA,JUEVES,09:00,11:00,A 101
163,6404,PSICODIAGNOSTICO II,CHAVEZ MURGUIA ALEJANDRA,JUEVES,09:00,12:00,A 110
164,6405,PSICODIAGNOSTICO II,MONJARÁS RODRÍGUEZ MARÍA TERESA,JUEVES,12:00,15:00,A 312
165,6405,TEORIA Y TECNICA DE LA ENTREVIS. II,RODRIGUEZ SERRANO AIDEE ELENA,JUEVES,07:00,09:00,B 07
166,6406,PSICODIAGNOSTICO II,PEREZ AGUERO MARIA CRISTINA,JUEVES,09:00,12:00,A 114
167,6407,PSICODIAGNOSTICO II,SOTO CRISTOBAL GABRIEL,JUEVES,08:00,11:00,A 310
168,6408,PSICODIAGNOSTICO II,ARENAS LANDGRAVE PAULINA,JUEVES,15:00,18:00,A 002
169,6411,PSICODINAMICA DE GRUPOS,MORALES CHAMBERT BRENDA CONCEPCION,JUEVES,15:00,17:00,A 302
170,6412,PSICODIAGNOSTICO II,CABRERA ZAMORA INGRID MARISSA,JUEVES,15:00,18:00,A 205
171,6414,TEORIA Y TECNICA DE LA ENTREVIS. II,ESPINOZA SALGADO FATIMA SAGRARIO,JUEVES,16:00,20:00,A 114
172,6501,INVESTIGACION EN EDUCACION,ALATORRE RICO JAVIER,JUEVES,09:00,14:00,A 201
173,6502,INVESTIGACION EN EDUCACION,MORALES GARDUÑO CECILIA,JUEVES,08:00,13:00,UDEMAT Edif A
174,6503,INVESTIGACION EN EDUCACION,DELGADO CERVANTES NORMA GEORGINA,JUEVES,09:00,14:00,Edif C Sala Tut 1
175,6504,INVESTIGACION EN EDUCACION,RUBIO JIMENEZ ANA LUISA,JUEVES,09:00,14:00,URIDES 1 Edif C
176,6505,INVESTIGACION EN EDUCACION,TORREBLANCA NAVARRO OMAR,JUEVES,10:00,15:00,Escenario
177,6506,INVESTIGACION EN EDUCACION,LOPEZ RAMIREZ JOSE LUIS,JUEVES,09:00,14:00,AULA PENDIENTE
178,6603,INTEGRACION DE PERSONAL I,VALLE GOMEZ MIRNA ROCIO,JUEVES,11:00,14:00,B 17
179,6604,ADMINISTRACION DE PERSONAL,LOZADA VAZQUEZ RICARDO ALBERTO,JUEVES,11:00,13:00,A 302
180,6606,CAPACITAC.Y DESARR.DE PERSONAL II,ESLAVA GUEVARA ADELINA,JUEVES,17:00,20:00,A 101
181,6607,ADMINISTRACION DE PERSONAL,MARTINEZ PEREZ ADRIANA GUADALUPE,JUEVES,16:00,20:00,B 17
182,6607,INTEGRACION DE PERSONAL I,RIVERA GARCIA JORGE LUIS,JUEVES,13:00,16:00,A 204
183,6608,CAPACITAC.Y DESARR.DE PERSONAL II,MARTINEZ MEJIA EMMANUEL,JUEVES,15:00,18:00,B 07
184,6704,ETICA PROFESIONAL,DE LA CRUZ FLORES GABRIELA,JUEVES,13:30,15:30,A 108
185,6704,APORTES DESDE EPISTEM. FEMINIST. PSIC.,HERNANDEZ CRESPO TANIA JIMENA,JUEVES,10:30,13:30,A 108
186,6709,ETICA PROFESIONAL,HERRERA ORTIZ MIGUEL,JUEVES,16:00,18:00,A 206
187,6710,ETICA PROFESIONAL,BUZO CASANOVA ENRIQUE RICARDO,JUEVES,07:00,09:00,A 307
188,6710,APORTES DESDE EPISTEM. FEMINIST. PSIC.,NAVARRO CORONA CLAUDIA IVETTE,JUEVES,09:00,12:00,A 206
189,6711,ETICA PROFESIONAL,PROFESOR PENDIENTE,JUEVES,13:00,15:00,A 302
190,6711,APORTES DESDE EPISTEM. FEMINIST. PSIC.,HERNANDEZ CRESPO TANIA JIMENA,JUEVES,15:00,18:00,A 301
191,6101,"APRENDIZAJE,MOTIVAC.Y COGNIC. II",BACHA MENDEZ GUSTAVO,VIERNES,10:00,12:00,A 101
192,6103,"APRENDIZAJE,MOTIVAC.Y COGNIC. II",BOUZAS RIAÑO ARTURO,VIERNES,12:00,14:00,A 101
193,6103,INVESTIGAC.Y ANALISIS DE DATOS II,CUEVAS RENAUD CORINA MARGARITA,VIERNES,09:00,11:00,B 12
194,6104,TALLER DE INVESTIGACION II,DURON FIGUEROA RAUL,VIERNES,10:00,12:00,AULA PENDIENTE
195,6105,INVESTIGAC.Y ANALISIS DE DATOS II,REYES CORTES ANA MARIA,VIERNES,11:00,13:00,AULA PENDIENTE
196,6105,TALLER DE INVESTIGACION II,ORDUÑA TRUJILLO OSCAR VLADIMIR,VIERNES,09:00,11:00,AULA PENDIENTE
197,6107,DESAR.ACTUALS.EN COGNIC.COMPOR.II,LE CORRE MATHIEU MICHEL,VIERNES,11:00,14:00,A 314
198,6201,ESTADISTICA INFERENC.EN PSICOLOGIA,VALENCIA CAMARGO MARIA FERNANDA,VIERNES,12:00,15:00,A 302
199,6202,"CONFLICTO, CONFORMIDAD Y CONSENSO",GARCIA MERAZ MELISSA,VIERNES,09:00,16:00,URIDES 1 Edif C
200,6301,TECNICAS DE IMAGENOLOGIA CEREBRAL,MUÑOZ DELGADO JAIRO IGNACIO,VIERNES,12:00,16:00,A 003
201,6302,PSICOFISIOLOGIA DEL SUE�O,VALENCIA FLORES MATILDE,VIERNES,10:00,13:00,A 205
202,6304,PSICOFISIOLOGIA DE LA ATENCION,PEREZ FERRARA DAVID ALEJANDRO,VIERNES,16:00,17:30,A 304
203,6402,PSICODINAMICA DE GRUPOS,MORA GUTIERREZ GERARDO,VIERNES,07:00,11:00,A 314
204,6404,EPIDEMIOLOGIA Y SALUD PUBLICA,PROFESOR PENDIENTE,VIERNES,09:00,12:00,A 102
205,6408,PSICODINAMICA DE GRUPOS,DE LA VEGA MORALES ROCIO IVONNE,VIERNES,15:00,19:00,A 205
206,6411,PSICODIAGNOSTICO II,HERNANDEZ TREJO LAURA AMADA,VIERNES,09:00,12:00,A 309
207,6414,PSICODIAGNOSTICO II,HERNANDEZ ESTRADA LIZBETH,VIERNES,16:00,19:00,A 204
208,6502,INVESTIG.CUANTITATIVA EN EDUCACION,RIGO LEMINI MARCO ANTONIO,VIERNES,11:00,14:00,A 304
209,6602,ADMINISTRACION DE PERSONAL,PUENTE LOMELIN ARTURO,VIERNES,10:00,14:00,A 301
